pmid,journal
34988079,Frontiers in cell and developmental biology
34326969,Journal of cardiovascular and thoracic research
30510588,Stem cells international
30166330,Disease models & mechanisms
41028791,Scientific reports
38706704,Biological psychiatry global open science
38407313,The Journal of cell biology
38045491,Aging brain
37183210,Scientific reports
36634849,The Journal of biological chemistry
34532319,Frontiers in cell and developmental biology
30747104,eLife
30392976,Stem cell reports
28602612,Stem cell reports
27752082,Molecular psychiatry
25921813,Stem cell reports
22426197,Experimental cell research
41779359,Stem cell reviews and reports
38180318,eLife
36513699,Scientific reports
41596282,International journal of molecular sciences
41020426,Advanced healthcare materials
38879755,Molecular therapy : the journal of the American Society of Gene Therapy
36076262,Stem cell research & therapy
26131765,PloS one
24672749,Stem cell reports
21689476,BMC systems biology
32784894,International journal of molecular sciences
39171140,Molecular therapy. Nucleic acids
31988093,Biology open
24028770,Genome biology
21297973,PloS one
41501149,Scientific reports
39193476,Oxford open immunology
38475825,Stem cell research & therapy
37856222,JCI insight
35453693,Biology
35284810,JHEP reports : innovation in hepatology
35011586,Cells
35051043,Toxics
34026460,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)"
33530582,International journal of molecular sciences
29497123,Scientific reports
24949734,PloS one
23874411,PloS one
