pmid,journal
33114756,International journal of molecular sciences
32877191,Nano letters
32585982,Cells
32185687,Molecular biology reports
32185667,Stem cell reviews and reports
32080339,Experimental & molecular medicine
31863652,Cell journal
31489945,Cells
31255831,Stem cell research
30981668,Experimental cell research
30899675,Toxicology reports
30675169,Stem cells international
30635054,Stem cell research & therapy
30554025,Biomaterials
30488785,Regenerative medicine
30417242,Stem cell reviews and reports
30319048,Stem cells and development
30196399,"Methods in molecular biology (Clifton, N.J.)"
29866841,Proceedings of the National Academy of Sciences of the United States of America
29625068,Cell stem cell
29594149,Frontiers in cardiovascular medicine
29390875,Cell transplantation
29215942,Cellular reprogramming
29163026,Frontiers in molecular neuroscience
28509990,Molecular biotechnology
28477135,"Methods in molecular biology (Clifton, N.J.)"
28314201,Stem cell research
28155868,Scientific reports
27998294,Journal of translational medicine
27943183,"Methods in molecular biology (Clifton, N.J.)"
27822179,Frontiers in cellular neuroscience
27676194,Stem cells and development
27615158,Stem cells and development
27653680,Cell reports
27609119,Scientific reports
27589383,Human gene therapy
27538887,Stem cells and development
27207831,Biochemical and biophysical research communications
27132887,Stem cell reports
26996599,Cell stem cell
26947976,Stem cell reports
26935433,Scientific reports
26728702,Stem cells and development
26725112,Cell reports
26502054,Nature cell biology
26358783,Stem cell reviews and reports
26047705,Biochemical and biophysical research communications
26039048,PloS one
25922608,Stem cells international
25685732,Cell journal
25663198,Molecular neurobiology
25643745,Cell proliferation
25556568,Stem cell reports
25490878,Cell biology international
25477171,Biomaterials
25408260,Journal of visualized experiments : JoVE
25366962,ACS chemical biology
25363410,Archiv der Pharmazie
25359165,Circulation
25333522,PloS one
25298370,Stem cells translational medicine
25262205,Nature methods
25248676,Current stem cell research & therapy
25145356,Cell research
25093667,Cellular reprogramming
24936457,Stem cell reports
41582643,Archivum immunologiae et therapiae experimentalis
40595290,Communications medicine
40575954,Liver international : official journal of the International Association for the Study of the Liver
40560137,ACS chemical neuroscience
39488928,Archives of oral biology
39178824,Journal of the neurological sciences
38890526,Acta pharmacologica Sinica
38702347,Nature communications
38594388,Journal of molecular neuroscience : MN
38273351,Stem cell research & therapy
38164894,ACS chemical neuroscience
37601103,Frontiers in cell and developmental biology
37443319,NPJ Regenerative medicine
36823979,International journal of stem cells
36805688,Cell death & disease
36590911,Frontiers in molecular neuroscience
35875485,Frontiers in bioengineering and biotechnology
35794374,Acta pharmacologica Sinica
34146546,Journal of molecular and cellular cardiology
33191940,Journal of visualized experiments : JoVE
32984345,Frontiers in cell and developmental biology
30159682,Science China. Life sciences
28808446,Stem cells international
28209733,Molecular biology of the cell
28182006,Cell death & disease
27804011,Neurochemical research
27059791,Journal of pediatric surgery
26868746,Investigative ophthalmology & visual science
26719791,"Cell regeneration (London, England)"
26373846,Clinical and experimental nephrology
25936755,The international journal of biochemistry & cell biology
25132468,Neuron
41769385,Materials today. Bio
41759523,Stem cell reports
41612437,Orphanet journal of rare diseases
24926434,British biotechnology journal
24759943,PloS one
24694094,Stem cells and development
24586958,PloS one
24500898,"Methods in molecular biology (Clifton, N.J.)"
24481283,"Cellular physiology and biochemistry : international journal of experimental cellular physiology, biochemistry, and pharmacology"
22484851,Nature methods
22364277,Antioxidants & redox signaling
22245495,Cellular signalling
21425122,Arthritis and rheumatism
21247432,Proteome science
16796722,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons
16741519,The Journal of investigative dermatology
41999746,Cell
41478563,Journal of pediatric surgery
40054664,Diabetes & metabolism
39906747,Frontiers in immunology
39730340,NPJ Regenerative medicine
37814474,Cell proliferation
37253308,European journal of medicinal chemistry
36921016,Protein & cell
35115708,Nature medicine
32715614,EMBO reports
29861168,Stem cell reports
29082293,Bio-protocol
28153093,Molecular therapy : the journal of the American Society of Gene Therapy
26292833,Cell research
26253202,Cell stem cell
24014886,Journal of molecular cell biology
42033539,Molecular neurobiology
41908253,Frontiers in bioengineering and biotechnology
41827899,Cells
41574418,The Analyst
41421413,European journal of pharmacology
41379613,Cell reports
41143725,Biomolecules & biomedicine
41087380,Nature communications
41036466,Molecular therapy. Nucleic acids
41007184,"Bioengineering (Basel, Switzerland)"
40998298,"Stem cells (Dayton, Ohio)"
40803231,Biomaterials
40711489,Cellular and molecular life sciences : CMLS
40706422,Drug resistance updates : reviews and commentaries in antimicrobial and anticancer chemotherapy
40680555,Bioorganic chemistry
40634357,Scientific reports
40563628,Cancers
40067625,"Methods in molecular biology (Clifton, N.J.)"
39756035,Cell reports
39573925,"Stem cells (Dayton, Ohio)"
39088624,"Science (New York, N.Y.)"
38796971,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie
38746402,Research square
38492889,Molecules and cells
37941521,Advanced healthcare materials
37393060,Gene
37292658,bioRxiv : the preprint server for biology
37119770,Biochemical and biophysical research communications
37047770,International journal of molecular sciences
36963393,Stem cell reports
36727408,Autophagy
35979890,"Clinical science (London, England : 1979)"
35908737,"Nanomedicine : nanotechnology, biology, and medicine"
35269422,Cells
35073164,Cellular reprogramming
34760946,Frontiers in cardiovascular medicine
34474874,"Materials science & engineering. C, Materials for biological applications"
34426676,Nature biomedical engineering
34293701,Biomaterials
34113099,International journal of nanomedicine
34031238,Proceedings of the National Academy of Sciences of the United States of America
33554224,Extracellular vesicles and circulating nucleic acids
33226612,"Methods in molecular biology (Clifton, N.J.)"
32982315,Stem cells and cloning : advances and applications
32961143,Cell stem cell
32728671,STAR protocols
32582662,Frontiers in bioengineering and biotechnology
32051587,Nature
30116172,Frontiers in neuroscience
29526736,Stem cell reports
29249356,Cell
28962647,Stem cell research & therapy
28886366,Cell stem cell
28427897,Life sciences
28398344,Nature biotechnology
28277007,Journal of biomaterials science. Polymer edition
28230276,Journal of cellular biochemistry
27389775,Molecular neurobiology
27294413,Human genomics
27121005,BMC genomics
26981212,World journal of cardiology
26975336,Scientific reports
26745800,PloS one
26635186,European journal of heart failure
26549845,Scientific reports
26418476,"Stem cells (Dayton, Ohio)"
26414965,Stem cells and development
26379228,Nature protocols
26114472,"Cell cycle (Georgetown, Tex.)"
26030913,PloS one
25953925,Circulation research
25482564,Cell reports
25374357,Neuron
25351576,Circulation research
24838880,"Methods in molecular biology (Clifton, N.J.)"
24744005,"Methods in molecular biology (Clifton, N.J.)"
24469711,Molecular biology reports
24001939,Journal of molecular and cellular cardiology
23313552,Cell
23136034,"Stem cells (Dayton, Ohio)"
23104133,Stem cell reviews and reports
22912667,PloS one
22539765,Circulation research
22312415,F1000 biology reports
21995449,Antioxidants & redox signaling
21802386,Cell stem cell
19959777,Circulation research
19340450,Chromosoma
42007508,Clinical and translational medicine
41964416,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism
41871244,Proceedings of the National Academy of Sciences of the United States of America
41843683,Proceedings of the National Academy of Sciences of the United States of America
41723880,British journal of pharmacology
41652899,"Stem cells (Dayton, Ohio)"
41554254,"Biomedical materials (Bristol, England)"
41522359,International journal of biological sciences
41513188,International journal of biological macromolecules
41462332,Stem cell research & therapy
41438735,Frontiers in immunology
41341622,PNAS nexus
41292842,bioRxiv : the preprint server for biology
41237238,Science advances
41120885,BMC cardiovascular disorders
40991849,Blood
40812683,Cellular and molecular gastroenterology and hepatology
40804530,Nature immunology
41645083,BMC cancer
41503996,Journal of integrative neuroscience
41278804,bioRxiv : the preprint server for biology
41100252,Cell reports
40631661,Circulation
40553371,Tissue engineering and regenerative medicine
40448624,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)"
40424951,Stem cell research
40301626,Nature protocols
40016442,Neuromolecular medicine
39993607,Biochimica et biophysica acta. Molecular cell research
39972074,The EMBO journal
39696686,Stem cell research & therapy
39689498,Journal of molecular and cellular cardiology
39406776,Scientific reports
39358564,Cancer gene therapy
39282363,bioRxiv : the preprint server for biology
38909361,STAR protocols
38810137,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)"
38747637,Journal of cellular physiology
38577102,iScience
38535481,Journal of developmental biology
38067144,Cells
38048364,PLoS biology
38023788,Bio-protocol
37894364,Cancers
37846557,Epigenomics
37810997,Cellular and molecular bioengineering
37761837,Genes
37652981,Nature cell biology
37651076,"Methods in molecular biology (Clifton, N.J.)"
37519304,Frontiers in cell and developmental biology
37470863,Cellular and molecular life sciences : CMLS
37357983,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)"
37126449,Cell reports
36989141,"Advanced materials (Deerfield Beach, Fla.)"
36831283,Cells
36776860,Frontiers in immunology
36695734,Cellular reprogramming
36507552,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)"
36454756,Proceedings of the National Academy of Sciences of the United States of America
36342671,Cellular reprogramming
36332631,Stem cell reports
36137065,Cellular reprogramming
36075448,Experimental cell research
35947961,Stem cell reports
35896382,"Stem cells (Dayton, Ohio)"
35733849,Frontiers in cell and developmental biology
35692443,Precision clinical medicine
35575836,Aging
35507154,"Methods in molecular biology (Clifton, N.J.)"
35385105,"Stem cells (Dayton, Ohio)"
35351192,Military Medical Research
35240008,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)"
35075695,Molecular reproduction and development
35073971,Stem cell research & therapy
34870829,"Methods in molecular biology (Clifton, N.J.)"
34799643,Scientific reports
34611861,Advances in experimental medicine and biology
34585448,Cell proliferation
34563253,Stem cell research & therapy
34540813,Frontiers in bioengineering and biotechnology
34476741,Stem cell reviews and reports
34461154,Journal of neuroscience methods
34324181,"Methods in molecular biology (Clifton, N.J.)"
34324178,"Methods in molecular biology (Clifton, N.J.)"
34246567,Seminars in cell & developmental biology
34212295,"Cell regeneration (London, England)"
34181046,Cellular and molecular life sciences : CMLS
34151295,STAR protocols
34083115,Seminars in cell & developmental biology
34082786,Genome biology
33755907,"Methods in molecular biology (Clifton, N.J.)"
33730354,"Methods in molecular biology (Clifton, N.J.)"
33711266,Stem cell reports
33621399,"Stem cells (Dayton, Ohio)"
33602141,BMC molecular and cell biology
33527839,Regenerative medicine
33377077,STAR protocols
33238118,Cell reports
33180827,PloS one
33144328,The Journal of biological chemistry
33096050,Stem cell reports
39440007,Journal of the Royal Society of New Zealand
33033262,Nature communications
33000315,"Cell regeneration (London, England)"
32942642,International journal of molecular sciences
32930373,The International journal of developmental biology
32895487,Cell death and differentiation
32776516,Biotechnology and bioengineering
32665583,Experimental & molecular medicine
32655369,Frontiers in cellular neuroscience
32477262,Frontiers in endocrinology
32426078,Inflammation and regeneration
32243809,Cell stem cell
33997180,Genes & diseases
32057163,IUBMB life
32006403,"Methods in molecular biology (Clifton, N.J.)"
31976351,Journal of biological methods
31960385,"Methods in molecular biology (Clifton, N.J.)"
31828179,Molecular therapy. Methods & clinical development
31821703,Journal of tissue engineering and regenerative medicine
31808362,Stem cells and development
31736500,Journal of visualized experiments : JoVE
31712708,Scientific reports
31637157,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)"
31475896,Current gene therapy
31412978,Biochemical and biophysical research communications
31409482,Biochemical and biophysical research communications
31386786,Genes to cells : devoted to molecular & cellular mechanisms
31289326,Scientific reports
31259901,Journal of visualized experiments : JoVE
31248447,Stem cell research & therapy
31230860,Cell stem cell
31199000,"Development, growth & differentiation"
31196173,Stem cell research & therapy
31056476,Stem cell reports
31019211,Scientific reports
30980516,Journal of cellular and molecular medicine
30774978,Cell discovery
30772174,Molecular cell
30728386,Scientific reports
30664902,Neuroscience letters
30577748,BMC genomics
30554962,Cell stem cell
30472380,Gene
30470628,Molecular therapy : the journal of the American Society of Gene Therapy
30443291,Oncotarget
30416049,Stem cell reports
30401413,Transplantation proceedings
30355953,"Cellular physiology and biochemistry : international journal of experimental cellular physiology, biochemistry, and pharmacology"
30353613,"Stem cells (Dayton, Ohio)"
30220521,Cell stem cell
30067988,Cell reports
30025541,Journal of biomedical science
30017813,Journal of the Chinese Medical Association : JCMA
29754960,Stem cell reports
29562294,Journal of molecular cell biology
29531310,Nature cell biology
29472703,Experimental & molecular medicine
29467427,Nature communications
29467236,Journal of cell science
29453933,CNS neuroscience & therapeutics
29414412,Stem cell research
29412738,Cellular reprogramming
29373866,The Journal of biological chemistry
29359466,"Stem cells (Dayton, Ohio)"
29286621,ACS applied materials & interfaces
29259452,Reproductive medicine and biology
29198829,Stem cell reports
29163034,Frontiers in molecular neuroscience
29140111,AIDS research and human retroviruses
29125994,Stem cell research
29033306,Stem cell reports
28954238,Cell reports
28945704,Nature methods
28931519,Diabetes
28903311,Oncotarget
28880267,Cell death & disease
28852087,Scientific reports
28826851,Stem cell reports
28790329,Scientific reports
28758276,"Stem cells (Dayton, Ohio)"
28757909,Oxidative medicine and cellular longevity
28722510,Autophagy
28666145,Stem cell research
28605832,Biomolecules & therapeutics
28595633,Stem cell research & therapy
28584084,Proceedings of the National Academy of Sciences of the United States of America
28583172,Stem cell research & therapy
28392218,Stem cell reports
28295042,Scientific reports
28192743,Stem cell research
28186702,Stem cells translational medicine
28155862,Scientific reports
28152182,Current protocols in stem cell biology
